City,Date,MeanRad
Miami,20191213,30.1393329330059
Miami,20191214,30.1395210108629
Miami,20191215,39.2300119649382
Miami,20191216,31.0406314419495
Miami,20191217,27.5790548649059
Miami,20191218,30.1431680619043
Miami,20191219,29.571666267336
Miami,20191220,30.1139104528394
Miami,20191221,28.6285768154379
Miami,20191222,29.6918164472138
Miami,20191223,30.1400138158483
Miami,20191224,27.9762042758821
Miami,20191225,38.3333522251302
Miami,20191226,32.529558885593
Miami,20191227,23.8307297943646
Miami,20191228,26.6414521135677
Miami,20191229,23.7032893241263
Miami,20191230,30.7470517030377
Miami,20191231,35.1151397179952
Phoenix,20191201,17.5381339061501
Phoenix,20191202,19.0512488758141
Phoenix,20191203,18.2406384856842
Phoenix,20191204,18.5110358368787
Phoenix,20191205,18.2650524388254
Phoenix,20191206,18.5327804714579
Phoenix,20191207,21.4734069128592
Phoenix,20191208,18.6233576523889
Phoenix,20191209,16.7890828996009
Phoenix,20191210,14.7868953746366
Phoenix,20191211,17.6666223982768
Phoenix,20191212,17.664735060401
Phoenix,20191213,19.8894899100929
Phoenix,20191214,17.6083728103219
Phoenix,20191215,17.2872439172772
Phoenix,20191216,18.3458359565568
Phoenix,20191217,19.1081728823979
Phoenix,20191218,20.744581998694
Phoenix,20191219,21.1748453902358
Phoenix,20191220,18.2131718466098
Phoenix,20191221,18.6722445293662
Phoenix,20191222,18.6237462107545
Phoenix,20191223,18.6239014026091
Phoenix,20191224,18.0169350996659
Phoenix,20191225,18.386331758365
Phoenix,20191226,17.8766501461825
Phoenix,20191227,18.5481958582954
Phoenix,20191228,18.2391991479511
Phoenix,20191229,21.9503520380727
Phoenix,20191230,18.8490986756298
Phoenix,20191231,19.055261503085
Shanghai,20191201,15.0189059458409
Shanghai,20191202,16.1520092609198
Shanghai,20191203,16.9827430521915
Shanghai,20191204,16.042714202869
Shanghai,20191205,16.1490139362979
Shanghai,20191206,15.5146490554909
Shanghai,20191207,17.0722402973753
Shanghai,20191208,18.2827214336014
Shanghai,20191209,15.817762430518
Shanghai,20191210,15.7007195665129
Shanghai,20191211,15.3008145762681
Shanghai,20191212,16.0375362157286
Shanghai,20191213,15.9843288441966
Shanghai,20191214,14.8538529129384
Shanghai,20191215,14.3980669487065
Shanghai,20191216,14.4009150692532
Shanghai,20191217,16.1483432805418
Shanghai,20191218,15.8712259228854
Shanghai,20191219,16.1155404312435
Shanghai,20191220,16.1525081112797
Shanghai,20191221,16.1525081112797
Shanghai,20191222,13.9768702231349
Shanghai,20191223,15.9793025876057
Shanghai,20191224,15.9695316923698
Shanghai,20191225,15.8453468407821
Shanghai,20191226,14.6254662637077
Shanghai,20191227,15.4868957787705
Shanghai,20191228,15.9430453502141
Shanghai,20191229,15.7193064623914
Shanghai,20191230,16.4810826051436
Shanghai,20191231,15.6033091304211
Shenzhen,20191201,20.2346651567134
Shenzhen,20191202,19.8869424173998
Shenzhen,20191203,17.6855571495113
Shenzhen,20191204,18.6018071265416
Shenzhen,20191205,18.7622028541842
Shenzhen,20191206,20.5634296505724
Shenzhen,20191207,22.1586934434254
Shenzhen,20191208,19.041577008615
Shenzhen,20191209,18.3487080999211
Shenzhen,20191210,18.0158099809488
Shenzhen,20191211,18.4695266181251
Shenzhen,20191212,18.8369833443584
Shenzhen,20191213,19.2874887722473
Shenzhen,20191214,17.7895001575862
Shenzhen,20191215,18.0050167360967
Shenzhen,20191216,18.392980893531
Shenzhen,20191217,18.7686264994607
Shenzhen,20191218,18.2866650017478
Shenzhen,20191219,18.561718014708
Shenzhen,20191220,13.4022029529857
Shenzhen,20191221,17.0429024859639
Shenzhen,20191222,16.9623525113976
Shenzhen,20191223,18.9743932895065
Shenzhen,20191224,17.6466582717375
Shenzhen,20191225,16.8122779706822
Shenzhen,20191226,17.5580261205643
Shenzhen,20191227,18.0369404886354
Shenzhen,20191228,16.0578256124022
Shenzhen,20191229,15.8179056167736
Shenzhen,20191230,18.6013173087868
Shenzhen,20191231,16.9257970174382
